epoch    train    validation
 1        0.7955       0.0000
 2        0.6268       0.0000
 3        0.5618       0.0000
 4        0.5177       0.0000
 5        0.4841       0.5385
 6        0.4300       0.0000
 7        0.4199       0.0000
 8        0.4152       0.0000
 9        0.4092       0.0000
10        0.4056       0.4916
11        0.4014       0.0000
12        0.3950       0.0000
13        0.3941       0.0000
14        0.3944       0.0000
15        0.3933       0.4913
16        0.3937       0.0000
17        0.3923       0.0000
18        0.3917       0.0000
19        0.3918       0.0000
20        0.3916       0.4927
21        0.3914       0.0000
22        0.3918       0.0000
23        0.3914       0.0000
24        0.3913       0.0000
25        0.3910       0.4927
26        0.3904       0.0000
27        0.3908       0.0000
28        0.3917       0.0000
29        0.3916       0.0000
30        0.3918       0.4914
31        0.3915       0.0000
32        0.3912       0.0000
33        0.3909       0.0000
34        0.3920       0.0000
35        0.3916       0.4904
36        0.3913       0.0000
37        0.3920       0.0000
38        0.3912       0.0000
39        0.3910       0.0000
40        0.3912       0.4905
41        0.3913       0.0000
42        0.3911       0.0000
43        0.3906       0.0000
44        0.3908       0.0000
45        0.3907       0.4910
46        0.3906       0.0000
47        0.3908       0.0000
48        0.3913       0.0000
49        0.3918       0.0000
50        0.3905       0.4916
51        0.3907       0.0000
52        0.3912       0.0000
53        0.3909       0.0000
54        0.3912       0.0000
55        0.3916       0.4913
56        0.3914       0.0000
57        0.3916       0.0000
58        0.3911       0.0000
59        0.3915       0.0000
60        0.3912       0.4932
61        0.3915       0.0000
62        0.3917       0.0000
63        0.3912       0.0000
64        0.3909       0.0000
65        0.3913       0.4900
66        0.3912       0.0000
67        0.3912       0.0000
68        0.3912       0.0000
69        0.3916       0.0000
70        0.3918       0.4923
71        0.3909       0.0000
72        0.3917       0.0000
73        0.3918       0.0000
74        0.3909       0.0000
75        0.3918       0.4918
76        0.3914       0.0000
77        0.3908       0.0000
78        0.3914       0.0000
79        0.3911       0.0000
80        0.3915       0.4920
81        0.3914       0.0000
82        0.3916       0.0000
83        0.3917       0.0000
84        0.3918       0.0000
85        0.3909       0.4937
86        0.3911       0.0000
87        0.3909       0.0000
88        0.3916       0.0000
89        0.3911       0.0000
90        0.3915       0.4907
91        0.3914       0.0000
92        0.3912       0.0000
93        0.3909       0.0000
94        0.3917       0.0000
95        0.3914       0.4925
96        0.3912       0.0000
97        0.3916       0.0000
98        0.3911       0.0000
99        0.3917       0.0000
100        0.3912       0.4922
101        0.3915       0.0000
102        0.3910       0.0000
103        0.3916       0.0000
104        0.3912       0.0000
105        0.3911       0.4910
106        0.3902       0.0000
107        0.3911       0.0000
108        0.3918       0.0000
109        0.3913       0.0000
110        0.3913       0.4916
111        0.3906       0.0000
112        0.3917       0.0000
113        0.3912       0.0000
114        0.3913       0.0000
115        0.3910       0.4927
116        0.3912       0.0000
117        0.3911       0.0000
118        0.3911       0.0000
119        0.3910       0.0000
